"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Pushdown Tricipiti con Corda",,"",1,"normal",10,8,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Pushdown Tricipiti con Corda",,"",2,"normal",10,8,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Pushdown Tricipiti con Corda",,"",3,"normal",10,8,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Crunch (Con Peso Aggiunto)",,"",0,"normal",5,12,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Crunch (Con Peso Aggiunto)",,"",1,"normal",5,12,,0,
"Giorno B","9 giu 2026, 18:34","9 giu 2026, 19:42","","Crunch (Con Peso Aggiunto)",,"",2,"normal",5,12,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Ponte Glutei",,"",0,"normal",,20,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Plank",,"",0,"normal",,0,,57,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Hip Thrust (macchina)",,"",0,"normal",40,7,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Hip Thrust (macchina)",,"",1,"normal",40,7,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Hip Thrust (macchina)",,"",2,"normal",40,7,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Hip Thrust (macchina)",,"",3,"normal",40,7,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Rematore al Cavo da Seduto",,"",0,"normal",20,10,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Rematore al Cavo da Seduto",,"",1,"normal",20,10,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Rematore al Cavo da Seduto",,"",2,"normal",20,10,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Rematore al Cavo da Seduto",,"",3,"normal",20,10,,0,
